match_id,match_seq_num,patch,region,start_time,duration,game_mode,skill,first_blood_time,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,dire_score,radiant_score,radiant_win
8290061693,6965128739,57,5.0,1747019461,3405,2,,210,0,63,0,1972,30,46,True
7003983234,5878587222,51,2.0,1675624857,2651,2,,0,0,63,0,1847,29,53,True
6801608074,5695086947,51,5.0,1665544787,1705,2,,130,63,63,1824,1983,10,22,True
2720550238,2374496930,18,5.0,1476881387,3251,2,,171,48,63,256,1824,36,42,True
5963271561,4997357307,48,3.0,1619300004,4055,2,,161,1,63,1024,1975,13,33,True
4531441051,3879864127,40,3.0,1552582852,1965,2,,125,48,3,1984,512,26,31,True
7814008210,6577328379,55,5.0,1719296316,1196,2,,0,63,63,2047,1972,33,9,False
8286915977,6962496932,57,3.0,1746823683,2205,2,,247,63,0,1830,1536,30,26,False
7795133865,6562020661,55,8.0,1718361400,1773,2,,0,63,63,1828,1983,22,45,True
8202505615,6893680204,57,3.0,1741249675,2266,2,,126,48,63,896,1975,41,53,True
7738510760,6516221523,54,8.0,1715765871,2828,2,,30,0,63,0,1974,28,49,True
4541926793,3886021302,40,13.0,1552813544,2109,2,,405,63,56,1990,1792,26,12,False
4096282003,3551542137,38,12.0,1535885829,2392,2,,10,0,63,1536,1588,26,37,True
2351975832,2059799494,17,3.0,1462814733,2386,2,,255,0,63,0,1974,9,15,True
2450017711,2142711269,18,3.0,1466431598,3426,2,,146,15,35,1568,518,37,31,False
5546462633,4653619350,46,5.0,1596263096,2245,2,,13,0,63,0,1975,25,40,True
8065142195,6782846712,56,8.0,1733214414,1405,2,,120,63,56,2038,1792,33,14,False
5155868099,4326150201,42,3.0,1576412262,1520,2,,0,63,0,1982,0,36,16,False
4939337130,4143873404,41,5.0,1564635256,2759,2,,38,63,55,1796,390,25,41,False
5415390625,4539496243,45,3.0,1589481490,2438,2,,194,15,63,1572,1982,17,33,True
7882165694,6632569534,56,5.0,1722854583,1771,2,,142,51,63,1792,1983,12,33,True
6360157619,5315928162,49,3.0,1641361591,1867,2,,120,63,51,1844,1799,33,29,False
3930082757,3409845919,35,18.0,1527994442,2245,2,,204,63,0,1584,0,31,10,False
8365034930,7026490473,58,3.0,1751889679,1610,2,,298,51,63,1798,1975,18,34,True
4766322107,4017894868,40,3.0,1558275626,1406,2,,108,63,51,1975,262,27,9,False
7284477386,6128288136,53,3.0,1692005147,1089,2,,2,63,15,2046,1574,29,16,False
6856134105,5744318212,51,8.0,1668104243,2592,2,,0,63,0,1972,1536,47,23,False
7433899483,6254898839,53,3.0,1699749299,2353,2,,195,0,63,0,1975,34,48,True
8350354901,7014405068,58,8.0,1750941102,1582,2,,6,0,63,0,2047,24,46,True
5275930073,4427136370,43,3.0,1583409974,2190,2,,80,15,60,36,1056,11,18,True
7533514225,6342277079,54,3.0,1705054849,1488,2,,0,63,3,1982,518,49,24,False
6208638449,5192305737,49,3.0,1633352351,1565,2,,108,51,63,1984,1847,15,38,True
8465698246,7110806873,58,3.0,1758092667,1785,2,,812,63,51,1974,262,26,17,False
7644138981,6434019130,54,38.0,1710799832,1470,2,,116,31,63,1030,2047,17,46,True
6975671762,5853101116,51,5.0,1674031604,2743,2,,90,63,0,1974,0,50,44,False
5529161217,4637679648,46,17.0,1595394406,1320,2,,201,63,63,1828,1983,6,22,True
